project_short_name,case_barcode,sample_barcode,aliquot_barcode,HGNC_gene_symbol,gene_id,normalized_count,original_gene_symbol,platform
TCGA-KIRP,TCGA-BQ-5892,TCGA-BQ-5892-01A,TCGA-BQ-5892-01A-11R-1592-07,MARCH2,51257,501.6573,MARCH2,IlluminaHiSeq
TCGA-KIRP,TCGA-DZ-6135,TCGA-DZ-6135-01A,TCGA-DZ-6135-01A-11R-1965-07,OR11A1,26531,0.2574,OR11A1,IlluminaHiSeq
TCGA-KIRP,TCGA-G7-A4TM,TCGA-G7-A4TM-01A,TCGA-G7-A4TM-01A-11R-A31O-07,SNX29P2,440352,10.4304,RUNDC2C,IlluminaHiSeq
TCGA-KIRP,TCGA-5P-A9KE,TCGA-5P-A9KE-01A,TCGA-5P-A9KE-01A-11R-A42S-07,PLEKHA4,57664,1229.486,PLEKHA4,IlluminaHiSeq
TCGA-KIRP,TCGA-B1-7332,TCGA-B1-7332-01A,TCGA-B1-7332-01A-11R-A32Z-07,ARID1B,57492,1110.727,ARID1B,IlluminaHiSeq
TCGA-KIRP,TCGA-B9-5156,TCGA-B9-5156-01A,TCGA-B9-5156-01A-01R-1592-07,ZNF876P,642280,2.3233,ZNF876P,IlluminaHiSeq
TCGA-KIRP,TCGA-UZ-A9PO,TCGA-UZ-A9PO-01A,TCGA-UZ-A9PO-01A-11R-A38C-07,MCU,90550,2376.8374,CCDC109A,IlluminaHiSeq
TCGA-KIRP,TCGA-HE-A5NJ,TCGA-HE-A5NJ-01A,TCGA-HE-A5NJ-01A-11R-A26U-07,HDAC1,3065,1394.8306,HDAC1,IlluminaHiSeq
TCGA-KIRP,TCGA-IZ-8196,TCGA-IZ-8196-01A,TCGA-IZ-8196-01A-11R-2404-07,DYX1C1,161582,144.8463,DYX1C1,IlluminaHiSeq
TCGA-KIRP,TCGA-MH-A562,TCGA-MH-A562-01A,TCGA-MH-A562-01A-11R-A26U-07,EP400,57634,996.379,EP400,IlluminaHiSeq
TCGA-KIRP,TCGA-SX-A7SP,TCGA-SX-A7SP-01A,TCGA-SX-A7SP-01A-11R-A355-07,,654342,1428.7617,LOC654342,IlluminaHiSeq
TCGA-KIRP,TCGA-DW-7842,TCGA-DW-7842-01A,TCGA-DW-7842-01A-11R-A32Z-07,FCHSD1,89848,361.3609,FCHSD1,IlluminaHiSeq
TCGA-KIRP,TCGA-5P-A9K4,TCGA-5P-A9K4-01A,TCGA-5P-A9K4-01A-11R-A42S-07,UGT1A9,54600,40.3304,UGT1A9,IlluminaHiSeq
TCGA-KIRP,TCGA-5P-A9JY,TCGA-5P-A9JY-01A,TCGA-5P-A9JY-01A-11R-A42S-07,ARL11,115761,30.0274,ARL11,IlluminaHiSeq
TCGA-KIRP,TCGA-B1-A47O,TCGA-B1-A47O-01A,TCGA-B1-A47O-01A-11R-A24Z-07,ACADM,34,642.6513,ACADM,IlluminaHiSeq
TCGA-KIRP,TCGA-G7-6792,TCGA-G7-6792-01A,TCGA-G7-6792-01A-21R-1965-07,MNT,4335,1451.3373,MNT,IlluminaHiSeq
TCGA-KIRP,TCGA-B9-A5W7,TCGA-B9-A5W7-01A,TCGA-B9-A5W7-01A-11R-A31O-07,SPDEF,25803,0.3546,SPDEF,IlluminaHiSeq
TCGA-KIRP,TCGA-G7-6789,TCGA-G7-6789-01A,TCGA-G7-6789-01A-11R-1965-07,PEX1,5189,334.1782,PEX1,IlluminaHiSeq
TCGA-KIRP,TCGA-IA-A83W,TCGA-IA-A83W-01A,TCGA-IA-A83W-01A-11R-A355-07,BCL6B,255877,92.9072,BCL6B,IlluminaHiSeq
TCGA-KIRP,TCGA-HE-A5NL,TCGA-HE-A5NL-01A,TCGA-HE-A5NL-01A-11R-A26U-07,NLRC4,58484,47.8992,NLRC4,IlluminaHiSeq
